ID Produk;Nama Produk;Kategori Kata Kunci;Nama Pelaku Usaha;No Sertifikat;Tanggal Terbit Sertifikat
PRD-001;Minuman Serbuk Rasa Cokelat (Chocolate Latte);Cokelat;PT ESTEH INDONESIA MAKMUR;ID32110001350320223;18/06/2026
PRD-002;PUDING COKELAT;Cokelat;SPPG KOTA TERNATE TENGAH SANTIONG;ID35110075739200526;27/05/2026
PRD-003;Pao Kukus Rasa Cokelat (Steam Pao) (WeiWang);Cokelat;PT. ELSON BERNARDI;ID35410068255790526;14/05/2026
PRD-004;Mini Pao Rasa Cokelat (WeiWang);Cokelat;PT. ELSON BERNARDI;ID35410068255790526;14/05/2026
PRD-005;Kopi Rindu - Sirup Rasa Manuka Honey/Honey Manuka/Madu Manuka;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-006;Kopi Rindu - Sirup Rasa Peppermint/Mint/Daun Mint;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-007;Kopi Rindu - Sirup Rasa White Chocolate/Cokelat Putih;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-008;Kopi Rindu - Sirup Rasa Mixberry/Mix Berry;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-009;Jago - Sirup Rasa Elder/Elder Flower/Bunga Elder;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-010;Jago - Sirup Rasa Manuka Honey/Honey Manuka/Madu Manuka;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-011;Jago - Sirup Rasa Peppermint/Mint/Daun Mint;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-012;Jago - Sirup Rasa White Chocolate/Cokelat Putih;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-013;Jago - Sirup Rasa Mixberry/Mix Berry;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-014;Luuca - Sirup Rasa Elder/Elder Flower/Bunga Elder;Sirup;PT. KARYA CIPTA AROMA;ID31110024199210725;08/06/2026
PRD-015;Sirup;Sirup;KOPERASI JASA WANITA PATRA DUMAI;ID00220000233360321;20/03/2026
PRD-016;Sirup Berperisa Leci Merk Quick Fresh;Sirup;PT. JAYA PUTRA DEWATA;ID35210049844690326;20/03/2026
PRD-017;Tsamarot Temu Kunci In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-018;Tsamarot Temulawak In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-019;Tsamarot Timun Suri In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-020;Tsamarot Tomato In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-021;Tsamarot Turmeric In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-022;Tsamarot Watermelon In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-023;Tsamarot Yellow Pumpkin In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-024;Tsamarot Yuzu In Sirup;Sirup;PT. TSAMAROT INDONESIA;ID31110043572090226;22/02/2026
PRD-025;POP MIE Mi Instan Cup Rasa Soto Ayam;Mie Instan;PT. Indofood CBP Sukses Makmur Tbk Divisi Noodle;ID00410000128040721;29/11/2024
PRD-026;POP MIE Mi Instan Cup Rasa Kari Ayam;Mie Instan;PT. Indofood CBP Sukses Makmur Tbk Divisi Noodle;ID00410000128040721;29/11/2024
PRD-027;POP MIE Mi Instan Cup Rasa Ayam Bawang;Mie Instan;PT. Indofood CBP Sukses Makmur Tbk Divisi Noodle;ID00410000128040721;29/11/2024
PRD-028;POP MIE Mi Instan Cup Rasa Mi Goreng Spesial;Mie Instan;PT. Indofood CBP Sukses Makmur Tbk Divisi Noodle;ID00410000128040721;29/11/2024
PRD-029;POP MIE Mi Instan Cup Rasa Ayam;Mie Instan;PT. Indofood CBP Sukses Makmur Tbk Divisi Noodle;ID00410000128040721;29/11/2024
